depth,cal BP,density,accrate,weight,lycadd,lyc,Abies,Pinus,Juniperus,Betula,Corylus,Carpinus,Castanea,Acer,Salix,Alnus,Fraxinus,Fagus,Tilia,Populus,Juglans,Dec_Querc,Ever_Querc,Ulmus,Sorbus,Rhamnus,Buxus,Tamarix,Ephedra distachya,Ephedra fragilis,Ericacea,Phillyrea,Other Oleaceae,Myrtus,Pistacia,Olea,Prunus-type,Genista,Poaceae,Artemisia,Cichorioideae,Asteroideae,Carduaceae,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Fabaceae other,Fabaceae trifolium type,Fabaceae lotus type,Cistacea,Linum,Lamiaceae,Rumex,Galium,Scrophulariaceae,Geraniaceae,Iridaceae,Liliacea,Saxifragaceae,Rosaceae,Ranunculaceae,Poligonaceae,Apiaceae,Boraginaceae,Rubiaceae,Crassulaceae,Sedum,Urtica,Primulaceae,Campanulaceae,Helianthemum,Asphodelus,Ranunculus,Thalictrum,Cyperaceae,Typha,Myriophyllum,Potamogeton,Callitriche,Juncus,Pteridophyte monolete ornament,Ptheridophyte monolete lisa,Pteridophyte trilete,Glomus,Sordariales
471.29,6991.03,1.6,0.07,2.4,41696,93,,248,,1,60,,,,1,3,,2,12,,5,3,6,,,,,1,,2,1,,1,,,,,,6,7,1,2,,2,1,2,1,,10,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,1,,5,,,,1,3,,,
488,7288.95,1.7,0.05,2.5,41696,137,,199,12,3,55,2,,,,5,2,,3,,,2,,5,,1,,,,,1,,,,,,,,10,4,3,,,2,1,2,,,8,,1,,,5,,,9,,,,,7,,,,,,,,,,,,,,2,7,,2,,,,2,,2,,
499.13,7534.83,1.7,0.05,1.7,41696,133,,180,3,4,84,1,,,,6,1,,3,,,0,1,1,,,,,,,,,,,,,,,10,2,,1,,2,,,,,1,,,,,7,,,,,,,,6,,,,,,,,,,,,,,,,1,,,,,2,2,1,,
510.27,7780,1.6,0.05,2.1,41696,104,,250,2,5,72,6,,,,1,3,,4,,1,1,1,10,,,,,,,,,,,,,,,3,2,3,1,,5,1,,,,1,,,,,6,,,3,,,,,5,,,1,,,,,,,,1,,1,2,3,,3,,,,1,3,2,,
515.84,7903.54,1.6,0.05,2.8,41696,86,,230,,,61,,,,,,,1,3,,2,2,3,,,,,,,,,,3,,,,,,2,4,2,2,,3,2,,,,7,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,4,1,,
521.41,8026.02,1.7,0.05,3.1,41696,69,,302,5,3,92,4,,,,3,2,,3,,,3,1,6,,,,,,,,,,,,,,,6,3,4,2,,5,,,,,3,,,,,5,,,1,,,,,2,,,,,,,,,,,,,,2,2,,,,,1,,3,,,
532.55,8272.1,1.6,0.05,2.4,41696,100,,231,5,5,93,2,,,,,3,,,,,2,1,5,1,,,,,1,1,,,,,2,,,6,4,1,,,5,1,6,1,,4,,1,,,12,,,,,,,,,,,1,2,,,,,,,,,,4,2,,2,,,,1,,,,
543.69,8507.78,1.7,0.05,1.7,41696,160,,242,8,3,79,,,,1,,,1,,1,2,0,2,7,,1,,,,1,,,,,,,,,8,6,3,3,,3,,,,,3,,,,,2,,,,,,,,3,,,,,,,,,,,,,1,,4,,,,,2,1,3,2,2,1
554.83,8861.84,1.7,0.05,2.3,41696,148,,240,5,3,80,9,,,,1,,,,,3,4,3,3,,4,,,,,,,,,,,,,6,2,4,1,,4,1,1,,,8,,,1,,18,,,,,,,1,5,,,,,,,,,,,,,,1,1,,2,,,,5,1,,,
580,9133.67,1.4,0.05,1.8,41696,158,,214,1,,59,,,,,2,1,,1,,,2,3,3,,,,,,,,,,,,,,,5,12,4,1,,4,,,2,,4,,,1,,5,,,1,,,,,2,,,,,1,,,,,,,,,,1,,,,,,,2,1,1,
586.18,9384.83,1.4,0.05,3.9,41696,18,,216,4,11,62,,,,,,,,,,,4,4,4,,,,,,,1,,,,,,,,5,4,,4,,2,,2,,,4,,,,,3,1,,8,,,,,5,2,,1,,,,1,1,,,,,,,,,,,,,2,,4,,
